student_id,first_name,last_name,birthdate,gender,grade
125,April,Fry,12/21/2007,F,3
16,Joshua,Ali,12/14/2007,M,3
50,Jacob,Shaw,12/11/2007,M,3
482,Aaron,Small,12/3/2007,M,3
366,Kenneth,Leon,11/28/2007,M,3
432,Jeffery,Porter,11/26/2007,M,3
325,Allison,Melendez,11/22/2007,F,3
33,Kimberly,Hansen,11/16/2007,F,3
152,Matthew,Edwards,11/11/2007,M,3
345,Erin,Grimes,10/28/2007,F,3
259,Deborah,Stout,10/24/2007,F,3
459,Lori,Wallace,10/24/2007,F,3
395,April,Lawson,10/17/2007,F,3
137,Andrea,Le,10/12/2007,F,3
112,Dennis,Wolfe,10/10/2007,M,3
8,Brandon,Contreras,10/7/2007,M,3
61,Wanda,Reeves,9/23/2007,F,3
258,Daniel,Tang,9/23/2007,M,3
196,Scott,Sanders,9/21/2007,M,3
428,Aaron,Padilla,9/16/2007,M,3
297,Jessica,Mckenzie,9/15/2007,F,3
310,Scott,Pennington,9/13/2007,M,3
333,Rachel,Rosario,8/28/2007,F,3
115,Susan,Dawson,8/25/2007,F,3
429,Nicole,Marks,8/24/2007,F,3
300,Stephen,Pratt,8/19/2007,M,3
214,Jay,Chang,8/17/2007,M,3
229,Brooke,Sheppard,8/17/2007,F,3
252,Paul,Meyer,8/12/2007,M,3
49,Madison,Morse,8/11/2007,F,3
413,Megan,Ashley,7/22/2007,F,3
57,Carolyn,Mckee,7/20/2007,F,3
398,Kevin,Hess,7/10/2007,M,3
302,Joshua,Manning,7/9/2007,M,3
142,Joshua,Petersen,6/26/2007,M,3
256,Zachary,Juarez,6/15/2007,M,3
307,Elizabeth,Santos,6/13/2007,F,3
234,Michael,Sanford,6/11/2007,M,3
406,Christopher,Burnett,6/10/2007,M,3
44,Dylan,Rojas,5/23/2007,M,3
250,Elijah,Meyer,5/23/2007,M,3
447,Michelle,Pugh,5/4/2007,F,3
255,Yvette,Vincent,5/2/2007,F,3
372,Nathan,Savage,5/2/2007,M,3
329,Rebekah,Preston,4/28/2007,F,3
485,Sarah,Sherman,4/16/2007,F,3
114,Christopher,Dawson,4/12/2007,M,3
126,Fred,Boyd,3/2/2007,M,3
178,Jeffrey,Rollins,2/26/2007,M,3
384,Jason,Esquivel,2/25/2007,M,3
164,Taylor,Riley,2/22/2007,M,3
106,Martin,Russell,2/17/2007,M,3
177,Anne,Rollins,2/15/2007,F,3
62,Mark,Jimenez,2/13/2007,M,3
216,Zachary,Chang,2/13/2007,M,3
223,Kimberly,Cochran,2/13/2007,F,3
121,Pamela,Ware,2/8/2007,F,3
390,Michael,Ferguson,2/6/2007,M,3
388,Jason,Woods,2/1/2007,M,3
183,Victoria,Pollard,1/12/2007,F,3
47,Ashlee,Miller,12/21/2006,F,4
437,Danielle,Orr,12/20/2006,F,4
257,Angel,Juarez,12/16/2006,F,4
497,Jennifer,Huff,12/4/2006,F,4
247,Cynthia,Salas,11/25/2006,F,4
179,Jessica,Rollins,11/12/2006,F,4
231,Angela,Friedman,10/24/2006,F,4
248,James,Salas,10/16/2006,M,4
449,Sandra,Cano,10/13/2006,F,4
56,Lee,Delgado,9/22/2006,M,4
473,Jennifer,Mcconnell,9/22/2006,F,4
127,Alicia,Boyd,8/23/2006,F,4
53,Debra,Duran,8/20/2006,F,4
215,Tina,Chang,8/10/2006,F,4
70,Derek,Hall,7/28/2006,M,4
66,Ricardo,Moran,7/1/2006,M,4
472,Joshua,Hogan,6/23/2006,M,4
494,Allen,Stafford,6/22/2006,M,4
380,Ryan,Watts,6/20/2006,M,4
392,Luis,Beard,6/18/2006,M,4
486,Troy,Hester,6/18/2006,M,4
209,Jamie,Burch,6/8/2006,F,4
425,Kathleen,Higgins,6/1/2006,F,4
174,Richard,Wells,5/25/2006,M,4
160,Daniel,Barnett,5/15/2006,M,4
328,Timothy,Chapman,5/13/2006,M,4
404,Steven,Phillips,5/11/2006,M,4
175,Rhonda,Howell,4/20/2006,F,4
71,Christine,Guevara,4/11/2006,F,4
323,Rita,Jennings,4/10/2006,F,4
439,Joyce,Santana,4/9/2006,F,4
176,Connor,Rollins,4/4/2006,M,4
208,Anthony,Booth,3/25/2006,M,4
138,Philip,Barron,3/22/2006,M,4
397,Jessica,Goodwin,3/3/2006,F,4
153,Jessica,Edwards,2/26/2006,F,4
394,Joshua,Lawson,2/24/2006,M,4
335,Shelby,Stewart,2/7/2006,F,4
334,Brian,Tapia,1/9/2006,M,4
228,Samuel,Golden,1/2/2006,M,4
243,Kelly,Barry,12/24/2005,F,5
400,John,Rich,12/21/2005,M,5
154,Joseph,George,12/15/2005,M,5
157,Gina,Glass,12/14/2005,F,5
365,Janice,Garner,12/8/2005,F,5
242,Kevin,Brown,12/7/2005,M,5
37,Sandra,Dickson,12/2/2005,F,5
94,Jay,Campbell,11/20/2005,M,5
450,Joshua,Mcguire,11/18/2005,M,5
151,Whitney,Dorsey,11/7/2005,F,5
145,Jenny,Ayala,11/6/2005,F,5
471,Jennifer,Hogan,10/18/2005,F,5
416,Alexander,Harding,10/13/2005,M,5
189,Cheryl,Yoder,9/21/2005,F,5
186,Gerald,Barajas,9/14/2005,M,5
226,Kevin,Vance,9/12/2005,M,5
327,Evelyn,Morton,9/11/2005,F,5
17,Connie,Hughes,8/15/2005,F,5
424,Michael,Williams,8/12/2005,M,5
456,Mark,S,8/6/2005,M,5
343,Allison,Lucas,8/4/2005,F,5
401,Jessica,Rich,8/4/2005,F,5
287,Sarah,Moyer,7/22/2005,F,5
158,Kevin,Glass,7/20/2005,M,5
454,David,Massey,7/18/2005,M,5
308,Steven,Oneal,7/3/2005,M,5
40,Kenneth,Todd,6/28/2005,M,5
206,Daniel,Vo,6/20/2005,M,5
230,Tyler,Jacobson,6/20/2005,M,5
403,Kara,Rich,6/15/2005,F,5
399,Mary,Rich,6/9/2005,F,5
344,Corey,Lucas,6/7/2005,M,5
159,Crystal,Glass,6/4/2005,F,5
54,Timothy,Spence,4/25/2005,M,5
133,Sherry,Whitney,4/14/2005,F,5
105,Debra,Sampson,4/8/2005,F,5
217,Kristi,Chang,4/7/2005,F,5
172,Kenneth,Dickerson,4/4/2005,M,5
149,Christina,Berger,4/2/2005,F,5
270,Adam,Smith,3/24/2005,M,5
101,Alexandra,Nava,3/22/2005,F,5
452,Patrick,Soto,3/11/2005,M,5
104,Joshua,Sampson,3/7/2005,M,5
305,Brittany,Avalos,2/16/2005,F,5
466,Charles,Green,2/15/2005,M,5
211,Deborah,Lam,2/2/2005,F,5
391,Stephanie,Beard,2/1/2005,F,5
311,Stephanie,Melton,1/25/2005,F,5
162,Mark,Reid,1/24/2005,M,5
368,Michael,Calderon,1/21/2005,M,5
263,Jaclyn,Page,1/18/2005,F,5
89,Ann,Houston,1/15/2005,F,5
4,Daniel,Moon,1/13/2005,M,5
5,Nancy,Moon,1/13/2005,F,5
402,Daniel,Rich,1/13/2005,M,5
103,Melanie,Sampson,1/12/2005,F,5
326,Norman,Morton,1/12/2005,M,5
282,Dalton,Burke,1/9/2005,M,5
91,Ashley,Mcclain,1/8/2005,F,5
233,Linda,Phelps,12/19/2004,F,6
110,Troy,Sweeney,12/15/2004,M,6
288,Brandon,Mendoza,12/4/2004,M,6
385,Jennifer,Tanner,12/3/2004,F,6
224,Paul,Lopez,10/22/2004,M,6
86,Daniel,Correa,10/18/2004,M,6
469,Michelle,Michael,10/5/2004,F,6
292,Ray,Brock,9/26/2004,M,6
27,Anna,Conner,9/20/2004,F,6
28,Brent,Conner,9/20/2004,M,6
150,Eric,Berger,9/13/2004,M,6
371,Kimberly,Parker,9/2/2004,F,6
417,Danielle,Walter,9/2/2004,F,6
92,Mark,Mcclain,8/17/2004,M,6
405,Rebecca,Hensley,8/11/2004,F,6
210,William,Lam,8/8/2004,M,6
291,April,Peterson,7/23/2004,F,6
455,Danielle,Massey,7/22/2004,F,6
190,Jerry,Dennis,7/17/2004,M,6
340,Eric,Mosley,7/8/2004,M,6
55,Maria,Hunter,7/4/2004,F,6
426,David,Strong,7/3/2004,M,6
156,Danny,Madden,6/26/2004,M,6
88,Jordan,Graves,6/20/2004,M,6
444,Travis,Giles,6/12/2004,M,6
41,Michele,Poole,5/19/2004,F,6
42,Angel,Poole,5/19/2004,M,6
43,Crystal,Poole,5/19/2004,F,6
219,Brittney,Spears,5/18/2004,F,6
342,Darren,Valdez,5/9/2004,M,6
84,Steven,Villa,5/3/2004,M,6
275,Brandy,Martin,4/26/2004,F,6
283,Madison,Burke,4/15/2004,F,6
414,Danny,Camacho,4/9/2004,M,6
239,Linda,Walton,3/27/2004,F,6
39,Shannon,Matthews,3/22/2004,F,6
361,Monica,Payne,3/4/2004,F,6
147,Kimberly,Berger,2/23/2004,F,6
295,Natalie,Boyer,2/19/2004,F,6
225,Amy,Corona,2/13/2004,F,6
367,Dawn,Cantrell,2/13/2004,F,6
185,Jennifer,Sims,2/10/2004,F,6
423,Cheyenne,Magana,2/9/2004,F,6
7,Stephanie,Franklin,1/26/2004,F,6
260,Timothy,Espinosa,1/22/2004,M,6
299,Angela,Raymond,1/15/2004,F,6
321,Sharon,Carpenter,1/5/2004,F,6
218,Nathan,Chang,1/2/2004,M,6
65,Sarah,Boyle,12/21/2003,F,7
387,Bethany,Church,12/13/2003,F,7
13,Alyssa,Pitts,11/28/2003,F,7
309,Rebecca,Molina,11/28/2003,F,7
102,Nathan,Lu,11/22/2003,M,7
78,Jimmy,Olsen,11/19/2003,M,7
377,Mary,Powell,11/18/2003,F,7
358,Derek,Wiley,11/16/2003,M,7
141,Karen,Humphrey,11/13/2003,F,7
285,Katherine,Larson,11/12/2003,F,7
79,Deborah,Davidson,11/11/2003,F,7
107,Ashley,Peralta,11/11/2003,F,7
286,Taylor,Hanna,11/4/2003,M,7
240,Manuel,Mendez,10/23/2003,M,7
421,Jennifer,Hunt,10/21/2003,F,7
227,Kathryn,Alexander,10/17/2003,F,7
236,Bryan,Huber,10/16/2003,M,7
375,Helen,Atkins,10/5/2003,F,7
440,Robert,Ponce,10/4/2003,M,7
81,Kristina,Villa,10/2/2003,F,7
198,Anthony,Carter,10/2/2003,M,7
165,Shannon,Arias,9/26/2003,F,7
72,Tommy,Hodges,9/21/2003,M,7
331,Rita,Davis,9/17/2003,F,7
294,Dennis,Tran,9/15/2003,M,7
434,Tyler,May,9/14/2003,M,7
245,Christina,Crosby,9/13/2003,F,7
383,Ellen,Carr,9/13/2003,F,7
484,Paul,Pearson,9/13/2003,M,7
171,Taylor,Barber,9/12/2003,F,7
451,Stephanie,Chavez,9/6/2003,F,7
184,Brett,Patrick,9/5/2003,M,7
118,Mark,Arellano,9/4/2003,M,7
82,Dennis,Villa,9/3/2003,M,7
188,David,Mcgee,8/22/2003,M,7
18,Kevin,Roberson,8/17/2003,M,7
2,Alexander,Romero,8/15/2003,M,7
205,Karla,Hodge,8/14/2003,F,7
203,Sarah,Olson,8/8/2003,F,7
382,Eric,Carr,8/8/2003,M,7
83,Lauren,Villa,8/2/2003,F,7
140,Carl,Humphrey,7/28/2003,M,7
254,Jimmy,Henderson,7/27/2003,M,7
26,George,Ortega,7/20/2003,M,7
320,Timothy,Carpenter,7/15/2003,M,7
341,Rebecca,Mcbride,7/15/2003,F,7
422,Mark,Magana,7/4/2003,M,7
393,Elizabeth,S,7/1/2003,F,7
487,Jennifer,Howard,6/22/2003,F,7
289,Jessica,English,6/20/2003,F,7
364,Jorge,Huffman,6/13/2003,M,7
408,Jose,Thomas,6/13/2003,M,7
441,Mary,Hopkins,6/11/2003,F,7
93,Rebecca,Bailey,6/10/2003,F,7
98,Joseph,Cuevas,6/10/2003,M,7
363,Lisa,Brandt,6/9/2003,F,7
97,Whitney,Cuevas,6/3/2003,F,7
374,Michael,Atkins,6/1/2003,M,7
11,Colleen,Kemp,5/28/2003,F,7
100,Scott,Brooks,5/18/2003,M,7
204,Christopher,Olson,5/15/2003,M,7
347,Tracy,Ray,5/5/2003,F,7
119,Lisa,Wong,5/3/2003,F,7
319,Brittany,Carpenter,4/24/2003,F,7
293,Mandy,Herrera,4/22/2003,F,7
132,Anthony,Whitney,4/10/2003,M,7
74,Ernest,Bryant,4/4/2003,M,7
161,Andrea,Liu,3/23/2003,F,7
195,Jessica,Patton,3/21/2003,F,7
420,Benjamin,Hunt,3/21/2003,M,7
279,Denise,Bush,3/20/2003,F,7
246,Mike,Crosby,3/15/2003,M,7
187,Shannon,Collier,3/11/2003,F,7
396,Dustin,Cox,3/9/2003,M,7
144,Shane,Mcdowell,3/2/2003,M,7
500,Cameron,Holt,2/28/2003,M,7
131,Elizabeth,Whitney,2/25/2003,F,7
419,Sarah,Hunt,2/25/2003,F,7
488,Paul,Martinez,2/21/2003,M,7
129,Sherry,Villarreal,2/1/2003,F,7
470,Austin,Rangel,1/19/2003,M,7
148,Nicholas,Berger,1/10/2003,M,7
51,Jacqueline,Russo,1/5/2003,F,7
166,Benjamin,Snow,1/5/2003,M,7
499,Julie,Holt,1/1/2003,F,7
418,John,Hunt,12/26/2002,M,8
238,David,Huber,12/2/2002,M,8
237,Stefanie,Huber,11/26/2002,F,8
445,Stephanie,Schroeder,11/23/2002,F,8
483,Heather,Stevens,11/22/2002,F,8
446,Lonnie,Gibbs,11/5/2002,M,8
407,Angela,Thomas,10/26/2002,F,8
278,Juan,Bush,10/22/2002,M,8
235,Cynthia,Travis,10/10/2002,F,8
303,Sandra,Pace,10/3/2002,F,8
480,Ralph,Harper,9/24/2002,M,8
460,Donald,Valenzuela,9/17/2002,M,8
313,Danielle,Palacios,9/13/2002,F,8
463,Denise,Carson,9/7/2002,F,8
128,Timothy,Villarreal,8/20/2002,M,8
120,Christian,Cherry,8/17/2002,M,8
481,Jamie,Mcmillan,8/16/2002,F,8
314,Brian,Adkins,8/12/2002,M,8
336,Scott,Everett,8/7/2002,M,8
69,Emily,Knapp,7/19/2002,F,8
415,Christina,Alvarado,7/3/2002,F,8
474,Daniel,Gilbert,7/2/2002,M,8
170,Carlos,Orozco,6/15/2002,M,8
45,Angela,Stark,6/1/2002,F,8
381,Michelle,Fisher,6/1/2002,F,8
453,Karen,Lester,6/1/2002,F,8
59,Carla,Branch,5/11/2002,F,8
339,Julia,Gregory,4/23/2002,F,8
113,Kathryn,Dixon,4/18/2002,F,8
116,Seth,Hail,3/27/2002,M,8
99,Tricia,Schultz,3/20/2002,F,8
139,Pamela,Humphrey,2/17/2002,F,8
430,Randy,Wilkins,2/10/2002,M,8
134,Travis,Munoz,2/4/2002,M,8
199,Yvonne,Vasquez,2/2/2002,F,8
15,Marie,Benton,1/6/2002,F,8
489,Kimberly,Hahn,1/4/2002,F,8
468,Michael,Stanton,12/20/2001,M,9
146,Daniel,Bentley,12/16/2001,M,9
202,Timothy,Vasquez,11/18/2001,M,9
478,Michael,Harper,11/14/2001,M,9
261,Shirley,Sierra,11/8/2001,F,9
200,Russell,Vasquez,11/7/2001,M,9
85,Jennifer,Wilkinson,10/20/2001,F,9
135,Angelica,Wolf,10/18/2001,F,9
108,Jeffrey,Estes,10/13/2001,M,9
232,Cody,Mcintyre,9/27/2001,M,9
349,Margaret,Murray,9/21/2001,F,9
351,Veronica,Summers,8/6/2001,F,9
477,Lauren,Harper,8/5/2001,F,9
280,Larry,Bush,7/17/2001,M,9
324,Stanley,Perez,7/10/2001,M,9
63,Kristin,Miles,7/1/2001,F,9
409,Mackenzie,Novak,6/4/2001,F,9
194,Thomas,Lloyd,5/7/2001,M,9
1,Margaret,Horn,5/2/2001,F,9
467,Crystal,Wood,4/7/2001,F,9
352,Joshua,Summers,3/5/2001,M,9
479,Shannon,Harper,2/21/2001,F,9
68,Andrew,Espinoza,2/14/2001,M,9
376,Benjamin,Atkins,2/10/2001,M,9
269,Martha,Ballard,1/27/2001,F,9
122,Joshua,Bonilla,1/14/2001,M,9
495,Gabriella,Moody,1/13/2001,F,9
167,Cynthia,Campos,1/5/2001,F,9
496,Michael,Moody,12/23/2000,M,10
213,Jordan,Baldwin,10/24/2000,F,10
201,Tracy,Vasquez,10/21/2000,F,10
410,George,Wheeler,10/18/2000,M,10
163,Crystal,Ortiz,10/14/2000,F,10
438,Ryan,Morrow,10/14/2000,M,10
443,Linda,Roach,10/13/2000,F,10
24,Christopher,Myers,10/5/2000,M,10
169,Cindy,Shields,10/5/2000,F,10
412,Paul,Hutchinson,8/26/2000,M,10
20,Aaron,Allen,8/21/2000,M,10
490,Larry,Lozano,8/15/2000,M,10
31,Renee,Ramirez,7/14/2000,F,10
221,Tracy,Stokes,7/12/2000,F,10
30,Larry,Ramirez,6/27/2000,M,10
193,Danielle,Fernandez,6/17/2000,F,10
155,Barbara,Randolph,6/6/2000,F,10
337,Courtney,Cooper,5/1/2000,F,10
317,Jennifer,Moreno,4/7/2000,F,10
362,Erik,Long,4/7/2000,M,10
492,Daniel,Ramos,3/28/2000,M,10
353,Teresa,Summers,3/18/2000,F,10
64,Michael,Miles,2/28/2000,M,10
356,Christopher,Wise,2/23/2000,M,10
191,Jennifer,Dodson,2/17/2000,F,10
48,Donald,Whitehead,12/17/1999,M,11
23,Gina,Walker,12/15/1999,F,11
67,Crystal,Pittman,10/15/1999,F,11
373,Natalie,Cisneros,9/19/1999,F,11
21,Renee,Walker,8/28/1999,F,11
22,Michael,Walker,8/28/1999,M,11
87,Yolanda,Bender,8/26/1999,F,11
264,Christopher,Sloan,7/21/1999,M,11
435,Kelly,Perkins,7/21/1999,F,11
389,Teresa,Weeks,6/25/1999,F,11
266,Michael,Sloan,6/10/1999,M,11
350,James,Bryan,5/25/1999,M,11
273,Mary,Craig,5/15/1999,F,11
253,Angel,Escobar,5/4/1999,F,11
212,Richard,Rogers,4/28/1999,M,11
436,Anthony,Perkins,3/21/1999,M,11
354,Brian,Wise,2/27/1999,M,11
493,Jessica,Cain,2/21/1999,F,11
355,Tracy,Wise,1/14/1999,F,11
475,Jennifer,Elliott,12/28/1998,F,12
464,Francisco,Copeland,12/27/1998,M,12
322,William,Noble,12/19/1998,M,12
284,Dennis,Reyes,10/24/1998,M,12
272,Edwin,Cameron,10/20/1998,M,12
249,Megan,Conway,9/10/1998,F,12
12,Jonathan,Sullivan,9/9/1998,M,12
77,Suzanne,Watson,8/25/1998,F,12
265,Sandra,Sloan,8/21/1998,F,12
38,Luke,Fitzgerald,6/4/1998,M,12
465,Kimberly,Copeland,5/28/1998,F,12
3,Denise,Sanchez,2/22/1998,F,12
271,Ruth,Cameron,1/1/1998,F,12
124,Joseph,Combs,4/1/1997,M,12
274,Todd,Glover,3/28/1997,M,12
